;Ag (ppm);Al (%);As (ppm);Ba (ppm);Be (ppm);Bi (ppm);Ca (%);Cd (ppm);Ce (ppm);Co (ppm);Cr (ppm);Cs (ppm);Cu (ppm);Fe (%);Ga (ppm);Hf (ppm);Hg (ppm);In (ppm);K (%);La (ppm);Li (ppm);LREE (ppm);Mg (%);Mn (ppm);Mo (ppm);Nb (ppm);Ni (ppm);P (ppm);Pb (ppm);Rb (ppm);Sb (ppm);Sc (ppm);Sn (ppm);Sr (ppm);Th (ppm);Ti (%);U (ppm);V (ppm);W (ppm);Y (ppm);Zn (ppm);Zr (ppm)
min;0.0;0.0;0.0;0.6989700043360189;0.0;0.03621217265444471;0.03342375548694973;0.14266750356873156;0.787460474518415;0.0;0.3010299956639812;0.0;0.47712125471966244;0.012837224705172217;0.17609125905568124;0.004321373782642578;0.6989700043360187;0.6777807052660807;0.1366771398795441;0.5185139398778874;0.0;0.9745116927373283;0.017728766960431602;1.3424226808222062;0.0;0.0;0.3222192947339193;1.6989700043360187;0.47712125471966244;0.04139268515822507;0.004321373782642578;0.04139268515822507;0.0;0.0;0.045757490560675115;0.01322826573375516;0.0;0.9542425094393249;0.0;0.021189299069938092;0.47712125471966244;0.0
q1;1.154901959985743;0.09342168516223506;0.47712125471966244;1.8325089127062364;0.07918124604762482;0.494850021680094;1.0969100130080565;1.0969100130080565;1.6868149545073168;0.8920946026904804;1.4471580313422192;0.10380372095595687;1.2068258760318498;0.42813479402878885;0.7160033436347992;0.5686362358410126;1.5228787452803376;1.3010299956639813;0.6777807052660807;1.2988530764097066;0.47712125471966244;1.839854984601885;0.9208187539523752;2.3961993470957363;0.12385164096708583;0.15836249209524964;1.0681858617461617;2.369215857410143;1.0644579892269186;0.9590413923210935;0.21467016498923297;0.5797835966168101;0.09691001300805639;0.6127838567197355;0.7558748556724915;1.2218487496163564;0.060480747381381476;1.5797835966168101;0.3979400086720376;0.7512791039833423;1.3979400086720377;0.6627578316815741
mean;1.4592521061069526;0.2573242310103395;0.6539578146401985;1.9931281302885393;0.22788906586663002;0.6608620514883222;1.279939855685083;1.3305832276839555;1.8477551299970576;1.0888009311009244;1.6494023443661066;0.25942363848262745;1.3557312297131552;0.5707957305877916;0.8700543258255284;0.8459669253308375;1.7057985155384445;1.4659942789489377;0.8494363672125924;1.4815092580437248;0.6905303209897035;2.0051142289483406;1.1379473160233755;2.6464123983267664;0.2749654308254795;0.3414584226652604;1.2737280352808114;2.568901283922536;1.2234240417170987;1.1223920389303097;0.4022871390415862;0.772536269114922;0.24407014443202998;0.8970704078245577;0.9302058909257113;1.5721726733991956;0.1987602527242792;1.7462413264718448;0.6599580768623121;0.9089142110800302;1.510326620336195;0.9023133173691403
median;1.3979400086720375;0.2013971243204515;0.6989700043360189;1.9637878273455553;0.1549019599857432;0.6575773191777937;1.2218487496163564;1.3010299956639813;1.8334658601706924;1.130333768495006;1.6127838567197355;0.2076083105017461;1.3636119798921444;0.5763413502057928;0.8512583487190752;0.8538719643217619;1.6989700043360187;1.5228787452803376;0.8239087409443188;1.481442628502305;0.6989700043360189;1.9922883537970923;1.0969100130080565;2.6848453616444123;0.22914798835785583;0.3187587626244128;1.2624510897304295;2.5563025007672873;1.2380461031287955;1.1139433523068367;0.38721614328026455;0.7403626894942439;0.20411998265592482;0.8195439355418687;0.8808135922807914;1.6989700043360187;0.14266750356873156;1.7242758696007892;0.6989700043360187;0.9449759084120479;1.5314789170422551;0.8920946026904804
background;1.3979400086720375;0.2013971243204515;0.6989700043360189;1.9637878273455553;0.1549019599857432;0.6575773191777937;1.2218487496163564;1.3010299956639813;1.8334658601706924;1.130333768495006;1.6127838567197355;0.2076083105017461;1.3636119798921444;0.5763413502057928;0.8512583487190752;0.8538719643217619;1.6989700043360187;1.5228787452803376;0.8239087409443188;1.481442628502305;0.6989700043360189;1.9922883537970923;1.0969100130080565;2.6848453616444123;0.22914798835785583;0.3187587626244128;1.2624510897304295;2.5563025007672873;1.2380461031287955;1.1139433523068367;0.38721614328026455;0.7403626894942439;0.20411998265592482;0.8195439355418687;0.8808135922807914;1.6989700043360187;0.14266750356873156;1.7242758696007892;0.6989700043360187;0.9449759084120479;1.5314789170422551;0.8920946026904804
max;2.0;1.0449315461491602;1.6127838567197355;3.2430380486862944;1.4842998393467859;1.3979400086720375;2.0;2.0;2.923787841731059;2.4186326873540653;3.621176281775035;1.0718820073061255;2.249931756634195;1.1760912590556813;1.5670263661590604;1.3010299956639813;2.0;1.6989700043360187;2.0;2.4189638307036225;1.6720978579357175;3.041964787263496;2.0;3.657629431388952;1.215373152783422;1.3364597338485296;3.194514341882467;4.0;2.102433705681336;2.052693941924968;1.2218487496163564;1.7745169657285496;1.546542663478131;2.707314633588708;2.081707270097349;2.0;1.0799044676667207;2.747411807886423;1.1072099696478683;1.7626785637274363;2.287801729930226;2.0453229787866576
q3;2.0;0.38560627359831223;0.9030899869919435;2.1367205671564067;0.3010299956639812;0.8239087409443188;1.5228787452803376;1.5228787452803376;1.9652487509671208;1.3242824552976926;1.8260748027008264;0.36653154442041347;1.510545010206612;0.7201593034059569;1.0253058652647702;1.3010299956639813;2.0;1.6989700043360187;0.958607314841775;1.6053050461411094;0.9030899869919435;2.125838963995004;1.3979400086720375;2.930949031167523;0.3979400086720376;0.4814860601221125;1.4563660331290431;2.727541257028556;1.3729120029701067;1.2787536009528289;0.5686362358410126;0.9590413923210935;0.3424226808222063;1.1038037209559568;1.0293837776852097;2.0;0.287801729930226;1.9084850188786497;1.0;1.082426300860772;1.6720978579357175;1.1172712956557642
std;0.41472077257668283;0.21136910481611382;0.3160001226206632;0.2878193832263761;0.21227103558874671;0.24314230867377168;0.3503258635237905;0.33816302674780535;0.2744828167110176;0.3697613994573032;0.352478463273297;0.2063833641047074;0.240921502721983;0.21436808592337717;0.2276336328852732;0.3805188223863562;0.28537492258871144;0.2290272791276987;0.2863309436872601;0.2884685607355138;0.32953458361841326;0.27611730392781203;0.37260444974778323;0.4008388995961326;0.201692877059654;0.23129937828753536;0.3557614298215408;0.3212070947108325;0.22224455258172846;0.3147098171438398;0.23406677307949156;0.2843638610713301;0.19492386830885355;0.4263744477205592;0.29066434949189074;0.4473303215287346;0.18842047472202703;0.2516246011044218;0.3051337744409237;0.27662179748582916;0.2525147516426431;0.3720612411258139
var;0.1719933192066007;0.04467689847076531;0.09985607749627416;0.08283999736081156;0.04505899254991898;0.05911818226721167;0.12272821065368951;0.11435423265923692;0.07534081666961408;0.13672349252862334;0.124241067071505;0.042594092979176226;0.05804317047381847;0.04595367626245241;0.05181707082054733;0.14479457419029929;0.08143884644251305;0.05245349458463682;0.0819854093128369;0.08321411053281881;0.108593041800561;0.07624076552836372;0.13883407597184833;0.16067182342943848;0.040680016656600704;0.05349940239620038;0.1265661949486671;0.10317399769257371;0.04939264115225266;0.09904226900670907;0.054787254259846194;0.08086280548339472;0.037995314436487286;0.18179516966901188;0.084485764065544;0.20010441655900107;0.03550227529447403;0.06331493988095939;0.09310662030456451;0.07651961884429108;0.06376369979714572;0.13842956714808102
coefvar;28.420090732854277;82.14115864106898;48.3211784531581;14.440586074348834;93.14665220181138;36.791688693002236;27.370494165624677;25.41464672874465;14.854934631487382;33.960422782098895;21.37007167943371;79.55457155402131;17.77059474929681;37.5560072431912;26.16315167093606;44.98034272883002;16.729696971194237;15.622658452112281;33.708345290989726;19.47126277944596;47.72195711060267;13.770652062682354;32.74355890656446;15.146501726245273;73.35208518908999;67.73866536432855;27.930721470153415;12.50367605486075;18.16578267252326;28.039206108747212;58.18400599063025;36.809127602140876;79.8638722333108;47.52965252243014;31.247313345073618;28.45300195693908;94.79786433125766;14.40949754710085;46.235326930408064;30.434313174301607;16.719214787224896;41.234151592777835
skewness;-0.008719041073442948;1.0992942075532055;-0.19016210876661194;0.28902503963370324;1.5839520253770019;0.166882586255226;0.0006185588909455358;-0.1509742405875253;0.4555917125896254;-0.506765216117105;0.9265392762744308;1.198516711744063;0.02033898038610033;0.022495131282774628;0.26032896874819755;-0.3409649610023701;-0.4508732957197988;-0.796373070585241;1.1102091790055844;0.42399101622339647;-0.5204182288359233;0.45072210621865283;0.13938851317082568;-0.4407449404067532;1.0876195917112115;0.8014673964346091;0.7073340989098101;0.5320226386825995;0.03650099240263343;-0.1265006027234257;0.33144404017285345;0.3615738013499618;1.328440194032651;1.0415501867402621;1.1818823394627511;-0.8001382418231401;1.7030326029185006;0.32182498762409434;-0.3678009572272737;-0.3928896911247297;-0.810377493080035;0.29560977001365807
kurtosis;-0.8368852954153443;0.8564795043661699;-0.14408632680368605;2.4136500098123594;3.2022733900448683;-0.07420752425266564;0.4659559743378332;0.2513732776047264;1.6761595578228103;0.7202366662295638;3.7926069751775566;1.2288420076568842;0.6383772530687755;0.13505809585482265;0.09887782858520788;-0.9987279742606887;-0.834545453566339;-0.07199299927922143;2.325244394905501;0.9882693872867847;-0.08321494889532932;1.4763456480169754;0.38028426169411;0.1916516214664834;1.3742951718577006;0.7882848849858299;2.6215164443093926;1.6319425093229727;0.26889216416006656;1.1603504510902054;-0.5375517637872389;0.11692280215362238;3.264608184584758;1.676569139204414;2.5415716190005906;-0.2354269994825251;3.4339173031922723;0.27566795191116666;-1.0145279878288613;0.5260894032201686;1.6025867699715208;0.0738458156312074
aiq;0.8450980400142569;0.2921845884360772;0.4259687322722811;0.3042116544501703;0.22184874961635637;0.32905871926422475;0.42596873227228116;0.42596873227228116;0.27843379645980404;0.43218785260721226;0.37891677135860724;0.2627278234644566;0.30371913417476226;0.29202450937716806;0.30930252162997096;0.7323937598229686;0.4771212547196624;0.3979400086720375;0.2808266095756943;0.30645196973140276;0.4259687322722811;0.28598397939311915;0.47712125471966227;0.5347496840717865;0.27408836770495176;0.3231235680268628;0.3881801713828814;0.35832539961841325;0.30845401374318815;0.31971220863173533;0.35396607085177967;0.3792577957042834;0.24551266781414988;0.49101986423622135;0.27350892201271826;0.7781512503836436;0.22732098254884453;0.3287014222618396;0.6020599913279624;0.33114719687742966;0.2741578492636798;0.4545134639741901
1anomaly;4.535294120042771;1.262160038906544;2.180996183808787;3.0493555305069178;0.9665762445130504;1.811084898736993;2.800784942097181;2.800784942097181;2.800550140346533;2.6208460131193294;2.9628251167766484;1.1547150148137835;2.421702412730899;1.5962328315374612;1.953213430154683;3.498211275132887;3.431363764158987;2.8927900303521312;1.8010871435688578;2.5246609553353174;2.180996183808787;2.983790902174362;2.8293037728310244;4.535198083382882;1.220205111786893;1.450856764202701;2.6209065472776873;3.802517455883796;2.298274044199671;2.2378902268480347;1.6305344483963515;2.096814779433944;1.078960684264656;2.576863313664621;1.8499105437233645;4.334453751150931;0.9697646775767597;2.8945892856641686;2.806179973983887;2.075867891493061;2.4945714057267567;2.480811687578335
2anomaly;3.2676470600213854;0.823883156252428;1.542043085400365;2.5930380488316622;0.6338031200885157;1.317496819840656;2.161831843688759;2.161831843688759;2.382899445656827;1.972564234208511;2.394449959738737;0.7606232796170984;1.9661237114687555;1.158196067471709;1.4892596477097266;2.399620635398434;2.7156818820794935;2.295880017344075;1.3798472292053163;2.0649830007382137;1.542043085400365;2.5548149330846828;2.113621890751531;3.7330735572752025;0.8090725602294653;0.9661714121624068;2.0386362902033652;3.265029356456176;1.835593023584889;1.7583219139004318;1.099585342118682;1.5279280858775186;0.7106916825434311;1.8403335173102888;1.439647160704287;3.1672268755754653;0.6287832037534928;2.401537152271409;1.9030899869919435;1.5791470961769165;2.0833346318312373;1.7990414916170494
